,size,H,name,slope,intercept,r_value
221,11000,0.8,0.80_5,-0.27438525210631887,153.12451030350016,-0.057405197564208796
222,11500,0.8,0.80_5,-0.3844359432049108,147.7523361202392,-0.08292982197059615
223,12000,0.8,0.80_5,-0.42806776979514016,144.65600189359205,-0.09351341652120237
224,12500,0.8,0.80_5,-0.4884824858221496,140.64791387309822,-0.10781903015984426
225,13000,0.8,0.80_5,-0.5156272262252718,136.418859813702,-0.11370380894916748
226,13500,0.8,0.80_5,-0.4779781303153972,132.39455177641148,-0.10553322769625448
227,14000,0.8,0.80_5,-0.4317979049685245,129.14465192653466,-0.09575402351631368
228,14500,0.8,0.80_5,-0.41248256797434063,130.24786378378568,-0.09143433413123912
229,15000,0.8,0.80_5,-0.3989839945783005,128.4839779344743,-0.0879863577229239
230,15500,0.8,0.80_5,-0.3553849265182182,136.79342108988843,-0.07652460044722506
231,16000,0.8,0.80_5,-0.376426773495337,134.00570384689436,-0.08103071805307577
232,16500,0.8,0.80_5,-0.3997694439627743,132.17821515642808,-0.08630584625565683
233,17000,0.8,0.80_5,-0.38018709437440507,133.2895157075284,-0.0821098379808916
234,17500,0.8,0.80_5,-0.41706226080312675,130.83004962734248,-0.09059282370650007
235,18000,0.8,0.80_5,-0.39125800035330793,128.40872655200468,-0.08555514614926417
236,18500,0.8,0.80_5,-0.40618591913983837,132.95853524613315,-0.08849684200148024
237,19000,0.8,0.80_5,-0.4120634298034763,132.24528975693482,-0.08950606378122813
238,19500,0.8,0.80_5,-0.3889480315124313,129.48026144042706,-0.08462054002452894
239,20000,0.8,0.80_5,-0.3345731274011657,127.68614100788295,-0.07389130483407376
240,20500,0.8,0.80_5,-0.3462713556776201,130.18430855168242,-0.07661726472379259
241,21000,0.8,0.80_5,-0.347854208526389,131.38970004365657,-0.07621006325229017
242,21500,0.8,0.80_5,-0.34745958382921094,133.6347715026029,-0.07490304902743664
243,22000,0.8,0.80_5,-0.34250520509255183,134.4913211146903,-0.07335014596244566
244,22500,0.8,0.80_5,-0.37615472529538063,133.04174681339168,-0.081134303872342
245,23000,0.8,0.80_5,-0.4015714039592453,130.9402373566706,-0.08673785889066266
246,23500,0.8,0.80_5,-0.3738398745142188,128.99276057239643,-0.08092575293267598
247,24000,0.8,0.80_5,-0.3051767798884413,126.87759007944729,-0.06721365083052903
248,24500,0.8,0.80_5,-0.3671613551210364,131.21138617397247,-0.08211510988494847
249,25000,0.8,0.80_5,-0.3165738716670937,129.09397027988868,-0.07127457915617307
250,500,0.8,0.80_6,0.47516561566630444,33.3214211298824,0.07829624822863823
251,1000,0.8,0.80_6,-0.21035172532066015,42.507838058544465,-0.07525861487872632
252,1500,0.8,0.80_6,-0.0566015397189696,41.762961453452405,-0.023305687367169342
253,2000,0.8,0.80_6,-0.19063181401022877,39.577620600927666,-0.08076069484412897
254,2500,0.8,0.80_6,0.03672629141474982,41.16278391239962,0.012435795180571417
